Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.742669,0.759107,0.678203,0.708345,0.708345,783159
2017-11-10,0.708949,0.746257,0.637264,0.643426,0.643426,738533
2017-11-11,0.640535,0.670578,0.605406,0.617541,0.617541,1181340
2017-11-12,0.617196,0.617196,0.534593,0.555259,0.555259,577273
2017-11-13,0.556067,0.613144,0.544102,0.581123,0.581123,469831
2017-11-14,0.581439,0.601580,0.531919,0.548587,0.548587,424516
2017-11-15,0.545852,0.568452,0.505715,0.555834,0.555834,902104
2017-11-16,0.560148,0.780133,0.560148,0.645261,0.645261,1471310
2017-11-17,0.640038,0.670643,0.602721,0.611706,0.611706,705094
2017-11-18,0.629621,0.673985,0.585989,0.654619,0.654619,516701
2017-11-19,0.655342,0.676980,0.617194,0.625842,0.625842,356011
2017-11-20,0.623782,0.695231,0.610144,0.658254,0.658254,728223
2017-11-21,0.656753,0.661060,0.590135,0.625799,0.625799,630773
2017-11-22,0.626271,0.634830,0.574463,0.590030,0.590030,626906
2017-11-23,0.585081,0.611303,0.547921,0.559698,0.559698,940973
2017-11-24,0.558026,0.586872,0.508441,0.564021,0.564021,1134370
2017-11-25,0.564712,0.597503,0.531484,0.560301,0.560301,1223110
2017-11-26,0.556473,0.577325,0.553250,0.559883,0.559883,1271950
2017-11-27,0.559136,0.579724,0.474614,0.518438,0.518438,1225500
2017-11-28,0.518246,0.522229,0.478684,0.482498,0.482498,1045810
2017-11-29,0.481828,0.561054,0.447050,0.448891,0.448891,1227570
2017-11-30,0.459544,0.499125,0.412428,0.455140,0.455140,751141
2017-12-01,0.457409,0.495078,0.441593,0.495078,0.495078,832423
2017-12-02,0.495217,0.497975,0.466690,0.469902,0.469902,761310
2017-12-03,0.471111,0.476083,0.415199,0.429029,0.429029,775890
2017-12-04,0.428525,0.495991,0.395628,0.487931,0.487931,894783
2017-12-05,0.488575,0.622603,0.475008,0.542082,0.542082,1583110
2017-12-06,0.547866,0.591551,0.483480,0.543851,0.543851,788029
2017-12-07,0.540863,0.578957,0.458878,0.475875,0.475875,814877
