Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,0.030366,0.032274,0.029264,0.030010,0.030010,409704
2019-05-07,0.030004,0.034073,0.029316,0.032430,0.032430,444049
2019-05-08,0.032356,0.032356,0.027614,0.030407,0.030407,357657
2019-05-09,0.030359,0.031349,0.025541,0.027187,0.027187,328438
2019-05-10,0.027153,0.028078,0.023804,0.024751,0.024751,345215
2019-05-11,0.024754,0.035171,0.021723,0.028549,0.028549,420385
2019-05-12,0.025906,0.029727,0.019333,0.022822,0.022822,287090
2019-05-13,0.022822,0.029657,0.022061,0.027307,0.027307,877232
2019-05-14,0.027334,0.030414,0.027322,0.029912,0.029912,1014237
2019-05-15,0.029891,0.033425,0.026529,0.030550,0.030550,1178633
2019-05-16,0.030725,0.034192,0.027433,0.028535,0.028535,1048253
2019-05-17,0.028555,0.029013,0.024583,0.028163,0.028163,1227526
2019-05-18,0.028163,0.028449,0.025949,0.027071,0.027071,1214731
2019-05-19,0.027352,0.029984,0.025314,0.028254,0.028254,1300375
2019-05-20,0.028254,0.028624,0.024811,0.026534,0.026534,1152430
2019-05-21,0.026412,0.029353,0.026003,0.028823,0.028823,1019445
2019-05-22,0.028823,0.029265,0.025448,0.026051,0.026051,858172
2019-05-23,0.026051,0.032367,0.025694,0.031776,0.031776,891614
2019-05-24,0.031912,0.036417,0.027568,0.035487,0.035487,980618
2019-05-25,0.035487,0.049227,0.034409,0.034905,0.034905,1016351
2019-05-26,0.034822,0.047260,0.034698,0.046595,0.046595,921282
2019-05-27,0.046686,0.047309,0.038945,0.040775,0.040775,908393
2019-05-28,0.040638,0.040804,0.034439,0.035584,0.035584,856260
2019-05-29,0.035584,0.037123,0.033339,0.036376,0.036376,1025093
2019-05-30,0.036376,0.037645,0.030008,0.032934,0.032934,1069173
2019-05-31,0.032934,0.042864,0.032908,0.042615,0.042615,6230402
2019-06-01,0.042615,0.043028,0.039066,0.039332,0.039332,3241695
2019-06-02,0.039332,0.042456,0.038772,0.039373,0.039373,2358632
2019-06-03,0.039373,0.040213,0.035662,0.035662,0.035662,1181190
2019-06-04,0.035839,0.036396,0.032970,0.034533,0.034533,655553
2019-06-05,0.034444,0.036722,0.030835,0.036025,0.036025,1028577
2019-06-06,0.036209,0.036234,0.033863,0.035213,0.035213,815252
2019-06-07,0.035259,0.036299,0.034747,0.035979,0.035979,735343
2019-06-08,0.035955,0.036269,0.030356,0.032233,0.032233,710820
2019-06-09,0.031864,0.032844,0.031022,0.032005,0.032005,658498
2019-06-10,0.031963,0.033761,0.031438,0.033343,0.033343,164722
2019-06-11,0.033406,0.033883,0.030067,0.032546,0.032546,228623
2019-06-12,0.032474,0.034951,0.031078,0.034133,0.034133,181987
