Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,112.531998,123.404999,112.219002,120.779999,120.779999,86864600
2017-11-10,121.344002,121.665001,101.757004,105.585999,105.585999,84614000
2017-11-11,105.750000,127.106003,103.877998,119.615997,119.615997,107708000
2017-11-12,119.597000,133.675003,110.617996,123.856003,123.856003,144948000
2017-11-13,128.960007,136.528000,120.921997,123.402000,123.402000,116200000
2017-11-14,123.615997,124.200996,118.625999,122.352997,122.352997,53544800
2017-11-15,122.240997,124.722000,119.192001,121.374001,121.374001,49976700
2017-11-16,121.242996,128.087997,118.504997,120.305000,120.305000,74944096
2017-11-17,120.014999,126.699997,119.250000,126.699997,126.699997,47127700
2017-11-18,126.595001,135.011993,123.528999,130.798996,130.798996,62156400
2017-11-19,130.720993,133.617996,127.208000,129.479004,129.479004,42133000
2017-11-20,129.496002,140.550995,128.485001,135.764999,135.764999,59945400
2017-11-21,136.104996,142.214005,131.371994,141.738007,141.738007,72701504
2017-11-22,142.082001,173.449005,141.136993,165.949997,165.949997,189472000
2017-11-23,166.110001,172.919006,156.453995,158.606995,158.606995,109392000
2017-11-24,158.619003,162.942001,156.761002,160.026993,160.026993,69178000
2017-11-25,159.994995,170.104004,159.994995,168.442001,168.442001,64076700
2017-11-26,168.572006,168.720001,159.763000,163.373993,163.373993,61100400
2017-11-27,162.916000,173.391998,159.947998,173.391998,173.391998,81489696
2017-11-28,175.348007,203.210007,173.173004,203.210007,203.210007,179179008
2017-11-29,203.912994,214.274994,165.330994,168.149994,168.149994,178828000
2017-11-30,170.485992,195.393997,156.531006,180.138000,180.138000,128112000
2017-12-01,179.722000,191.848999,169.763000,190.938004,190.938004,70430496
2017-12-02,190.834000,205.264008,186.684006,203.033997,203.033997,80791104
2017-12-03,203.365005,209.085999,191.248001,200.050995,200.050995,111303000
2017-12-04,199.561996,210.242004,192.042007,210.242004,210.242004,74534400
2017-12-05,211.128006,272.643005,208.893997,269.484009,269.484009,352326016
2017-12-06,268.164001,316.667999,260.610992,278.684998,278.684998,543884032
2017-12-07,277.867004,300.321991,263.173004,280.855011,280.855011,299528000
2017-12-08,281.308990,284.860992,250.649994,276.743988,276.743988,201496992
2017-12-09,277.265991,281.398010,250.388000,262.532990,262.532990,161152000
2017-12-10,262.898987,262.898987,220.768997,245.332993,245.332993,142120000
2017-12-11,244.951004,281.032990,244.143005,279.669006,279.669006,152496992
2017-12-12,281.490997,319.897003,281.187988,308.066986,308.066986,271785984
2017-12-13,307.431000,330.346008,284.743988,305.744995,305.744995,248583008
2017-12-14,303.264008,335.527008,301.395996,325.205994,325.205994,261052992
2017-12-15,325.605988,326.075989,296.078003,312.321991,312.321991,163054000
2017-12-16,312.609985,331.542999,311.710999,327.321014,327.321014,164860992
2017-12-17,328.058014,365.243988,327.272003,351.372986,351.372986,278704992
2017-12-18,353.066010,381.511993,332.092010,381.511993,381.511993,217306000
2017-12-19,381.066010,406.033997,346.941986,377.235992,377.235992,317292000
2017-12-20,375.713989,476.398010,329.950012,469.197998,469.197998,498648000
2017-12-21,470.286987,470.286987,390.550995,417.980011,417.980011,354020992
2017-12-22,419.528992,423.421997,255.667999,346.113007,346.113007,334616992
2017-12-23,349.761993,417.647003,344.381012,382.039001,382.039001,190116992
2017-12-24,391.015015,391.015015,297.092987,337.059998,337.059998,134675008
2017-12-25,339.688995,365.867004,323.204010,360.782013,360.782013,119632000
2017-12-26,361.084991,384.770996,357.273010,381.542999,381.542999,161342000
2017-12-27,381.303009,442.595001,381.303009,421.848999,421.848999,250742000
2017-12-28,422.506989,422.506989,359.493011,378.903992,378.903992,162716992
2017-12-29,381.303009,387.562988,358.071014,377.365997,377.365997,173824992
2017-12-30,378.520996,378.520996,319.609009,330.803986,330.803986,140463008
2017-12-31,329.002014,356.765991,327.412994,349.026001,349.026001,101667000
2018-01-01,349.549011,363.787994,336.977997,358.989990,358.989990,110244000
2018-01-02,359.059998,387.790009,359.059998,383.416992,383.416992,224768992
2018-01-03,382.743988,418.257996,378.856995,412.062988,412.062988,180190000
2018-01-04,414.410004,419.717987,383.540009,403.048004,403.048004,166108000
2018-01-05,402.384003,407.035004,373.891998,384.936005,384.936005,182618000
2018-01-06,385.364990,452.770996,380.213989,452.770996,452.770996,235391008
2018-01-07,456.151001,495.835999,453.390991,459.330994,459.330994,262443008
2018-01-08,458.346985,469.704987,357.540985,405.074005,405.074005,220924000
2018-01-09,403.707001,447.605011,398.531006,413.334015,413.334015,522438016
2018-01-10,413.248993,419.065002,370.519989,407.740997,407.740997,265152000
2018-01-11,406.084015,415.895996,346.694000,355.592010,355.592010,187722000
2018-01-12,358.615997,394.782990,347.322998,394.782990,394.782990,158188992
2018-01-13,393.040009,433.346008,393.040009,420.053986,420.053986,248704992
2018-01-14,420.335999,444.014008,384.304993,399.519012,399.519012,180678000
2018-01-15,396.016998,444.342987,392.372009,414.570007,414.570007,264782000
2018-01-16,415.928009,418.987000,261.197998,320.036987,320.036987,283036000
2018-01-17,318.932007,332.118988,240.356995,319.186005,319.186005,192936992
2018-01-18,320.596985,347.114014,303.350006,316.467987,316.467987,152851008
2018-01-19,314.134003,367.957001,309.539001,364.621002,364.621002,199852000
2018-01-20,367.635010,403.489014,358.770996,383.789001,383.789001,240595008
2018-01-21,384.532013,389.110992,336.011993,345.079010,345.079010,126395000
2018-01-22,348.910004,356.036987,288.786011,315.898010,315.898010,116893000
2018-01-23,315.304993,321.695007,285.614014,308.460999,308.460999,116898000
2018-01-24,308.924988,323.192993,299.457001,317.399994,317.399994,92263600
2018-01-25,322.171997,327.996002,306.589996,317.102997,317.102997,76537296
2018-01-26,316.595001,328.779999,292.481995,323.684998,323.684998,91052800
2018-01-27,325.304993,332.825989,310.445007,321.355011,321.355011,66614100
2018-01-28,322.960999,337.157990,322.960999,332.166992,332.166992,75700896
2018-01-29,331.774994,336.686005,314.049011,316.627991,316.627991,55323000
2018-01-30,317.358002,318.009003,268.679993,274.015991,274.015991,93182600
2018-01-31,274.897003,284.019989,265.283997,272.889008,272.889008,67649504
2018-02-01,273.875000,279.782990,228.386993,240.964996,240.964996,73082704
2018-02-02,240.841995,249.272995,184.938995,235.630005,235.630005,122696000
2018-02-03,236.507004,256.975006,215.602997,251.587997,251.587997,55887100
2018-02-04,251.968994,257.390015,214.785995,221.046005,221.046005,48981700
2018-02-05,219.039993,221.737000,167.136993,179.487000,179.487000,77454496
2018-02-06,180.867004,213.460999,149.410995,212.289001,212.289001,100344000
2018-02-07,210.733002,231.250000,191.856995,207.274994,207.274994,64730900
2018-02-08,207.774994,253.119995,207.774994,247.223999,247.223999,81312200
2018-02-09,247.824997,260.838989,233.434998,260.433014,260.433014,77557200
2018-02-10,260.585999,271.824005,243.912994,250.029999,250.029999,76435296
2018-02-11,249.442001,249.442001,219.227997,229.485001,229.485001,51680100
2018-02-12,229.867004,251.414001,229.867004,247.567993,247.567993,45760100
