Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,1.618220,1.770870,1.561080,1.706310,1.706310,506992
2017-11-10,1.725750,1.788160,1.506240,1.556840,1.556840,507916
2017-11-11,1.550430,1.629680,1.506630,1.583380,1.583380,500045
2017-11-12,1.579000,1.603630,1.442530,1.476480,1.476480,278535
2017-11-13,1.504680,1.564480,1.400590,1.459460,1.459460,390003
2017-11-14,1.454180,1.589450,1.454180,1.557080,1.557080,372245
2017-11-15,1.561000,1.663880,1.542950,1.610520,1.610520,178352
2017-11-16,1.623580,1.679180,1.529410,1.660010,1.660010,386974
2017-11-17,1.653710,1.701570,1.625210,1.654020,1.654020,271884
2017-11-18,1.644010,1.706940,1.618180,1.686600,1.686600,187698
2017-11-19,1.680970,1.727890,1.637050,1.724360,1.724360,255118
2017-11-20,1.714210,1.772300,1.690880,1.747900,1.747900,287842
2017-11-21,1.751510,1.771580,1.677610,1.721610,1.721610,295924
2017-11-22,1.733620,2.429110,1.722000,2.323220,2.323220,853953
2017-11-23,2.285900,2.387200,2.020920,2.021650,2.021650,321518
2017-11-24,2.016090,2.112280,1.848390,1.975990,1.975990,787662
2017-11-25,1.953340,2.212420,1.928240,2.030200,2.030200,589199
2017-11-26,2.022320,2.211500,2.016170,2.171570,2.171570,799362
2017-11-27,2.175480,2.258340,2.025550,2.167130,2.167130,391622
2017-11-28,2.175410,2.262820,2.069190,2.125690,2.125690,504296
2017-11-29,2.131520,2.397080,1.935770,2.058110,2.058110,412355
2017-11-30,2.063900,2.290860,1.947970,2.186310,2.186310,340965
2017-12-01,2.185000,2.422070,2.070610,2.417620,2.417620,530200
2017-12-02,2.415150,2.520080,2.383270,2.494490,2.494490,463783
2017-12-03,2.484280,2.883720,2.470950,2.718520,2.718520,511950
2017-12-04,2.724430,2.778880,2.546440,2.668190,2.668190,643893
2017-12-05,2.671560,2.837150,2.651030,2.798330,2.798330,496599
2017-12-06,2.785980,3.722300,2.785980,3.309390,3.309390,708488
2017-12-07,3.296580,3.782880,3.088450,3.775560,3.775560,463861
2017-12-08,3.783310,3.951350,3.320180,3.817240,3.817240,924748
2017-12-09,3.832420,3.929920,3.147070,3.407720,3.407720,866925
2017-12-10,3.417400,3.652470,3.005130,3.446750,3.446750,923580
2017-12-11,3.450040,3.967100,3.267020,3.869710,3.869710,735963
2017-12-12,3.901050,4.343610,3.839460,4.301140,4.301140,838919
2017-12-13,4.299340,4.372510,3.981350,4.068140,4.068140,692505
2017-12-14,4.030620,4.443030,3.935990,4.443030,4.443030,582458
2017-12-15,4.442930,5.283650,4.442930,5.003530,5.003530,972025
2017-12-16,5.032210,6.033800,4.991760,5.984160,5.984160,755714
2017-12-17,5.990200,12.189400,5.836630,10.557900,10.557900,3035850
2017-12-18,10.561000,10.561000,5.785470,8.349310,8.349310,2967030
2017-12-19,8.389710,8.408610,7.471120,7.562000,7.562000,3158240
2017-12-20,5.738500,7.389900,4.369670,4.847640,4.847640,2464740
2017-12-21,4.878240,5.546210,4.624450,5.032630,5.032630,1804550
2017-12-22,5.143860,5.197960,3.454210,3.853220,3.853220,1721410
2017-12-23,3.927920,4.674140,3.916460,4.431900,4.431900,1516870
2017-12-24,4.395670,4.624470,3.662730,4.018540,4.018540,1639850
2017-12-25,4.011890,4.571220,3.900030,3.900030,3.900030,1310020
2017-12-26,3.903080,4.350730,3.667590,4.260950,4.260950,813451
2017-12-27,4.328740,4.328740,3.744840,3.870850,3.870850,1123050
2017-12-28,3.856250,3.919560,3.520160,3.789850,3.789850,579467
2017-12-29,3.818380,4.426550,3.714000,3.757100,3.757100,945485
2017-12-30,3.782280,4.170160,3.718670,3.882500,3.882500,713963
2017-12-31,3.843510,4.238700,3.723820,4.079380,4.079380,519750
2018-01-01,4.112020,4.732390,3.946540,4.526930,4.526930,675780
2018-01-02,4.544550,6.052000,4.544550,5.541680,5.541680,1814600
2018-01-03,5.549930,7.087800,5.504990,7.087800,7.087800,1702840
2018-01-04,7.139860,7.547780,6.102170,6.151750,6.151750,1201580
2018-01-05,4.568210,7.312320,4.568210,5.483900,5.483900,1852540
2018-01-06,5.524500,6.463720,5.082240,5.448900,5.448900,1202100
2018-01-07,5.291890,6.664440,5.195980,5.439260,5.439260,1354790
2018-01-08,5.508130,5.908450,4.431990,4.735950,4.735950,1398750
2018-01-09,4.771490,5.809890,4.639350,4.970750,4.970750,1552540
2018-01-10,4.954130,5.717730,4.508820,4.947180,4.947180,1154550
2018-01-11,4.926510,5.493960,4.684160,5.271480,5.271480,961974
2018-01-12,5.285380,6.398020,4.935790,5.747040,5.747040,1125140
2018-01-13,5.778930,6.094760,5.406550,6.072830,6.072830,1687140
2018-01-14,6.061400,6.102990,4.910650,5.551230,5.551230,3379230
2018-01-15,5.518720,5.738670,4.891060,5.228870,5.228870,3217700
2018-01-16,5.239120,5.337110,4.402530,4.839390,4.839390,3465340
2018-01-17,4.818310,5.185030,3.935440,4.528020,4.528020,2515590
2018-01-18,4.515800,5.757020,4.460020,5.132980,5.132980,3888860
2018-01-19,5.084310,5.434090,4.508020,4.743650,4.743650,4734330
2018-01-20,4.781290,5.105030,4.730750,4.987210,4.987210,3153040
2018-01-21,5.009640,5.071550,4.414370,4.584560,4.584560,1290190
2018-01-22,4.640120,5.028630,4.363920,4.731210,4.731210,2760220
2018-01-23,4.681990,4.925620,4.515960,4.744820,4.744820,4212570
2018-01-24,4.742990,4.818890,3.845610,4.244270,4.244270,1542820
2018-01-25,3.954940,4.572700,3.839050,4.035490,4.035490,1303740
2018-01-26,4.013950,4.145330,3.836960,4.108010,4.108010,621430
2018-01-27,4.111840,4.203560,4.015340,4.090620,4.090620,343186
2018-01-28,4.117350,4.677190,4.117350,4.578220,4.578220,617533
2018-01-29,4.540650,4.890500,2.831050,3.282090,3.282090,2035690
2018-01-30,3.306300,4.146270,2.728650,3.435830,3.435830,1429180
2018-01-31,3.483120,3.799090,2.794310,3.388780,3.388780,2148400
2018-02-01,3.394000,3.483960,2.791770,3.063600,3.063600,3109900
2018-02-02,3.064930,3.072690,2.425940,2.851900,2.851900,2820460
2018-02-03,2.867230,3.283370,2.747370,3.175700,3.175700,1660240
2018-02-04,3.166330,3.504040,2.914110,3.066640,3.066640,1498690
2018-02-05,3.036080,3.093070,2.194000,2.413930,2.413930,2070610
2018-02-06,2.411900,2.465680,1.757870,2.463710,2.463710,1706220
2018-02-07,2.447610,2.845400,2.193420,2.415740,2.415740,2082500
2018-02-08,2.407740,3.019060,2.407740,2.953940,2.953940,1888850
2018-02-09,2.975300,3.324290,2.748600,3.169820,3.169820,1119960
2018-02-10,3.160660,3.527430,3.130770,3.274800,3.274800,1086180
2018-02-11,3.276450,3.287250,2.922910,2.981820,2.981820,606314
2018-02-12,2.999010,3.302430,2.999010,3.218200,3.218200,928316
2018-02-13,3.217570,3.228440,2.317260,2.606510,2.606510,1543840
2018-02-14,2.605490,2.855260,2.275320,2.496690,2.496690,1870300
2018-02-15,2.500310,2.772940,2.484190,2.572020,2.572020,751962
2018-02-16,2.556880,2.742920,2.501730,2.693420,2.693420,903445
2018-02-17,2.692590,2.862890,2.666540,2.745070,2.745070,900364
2018-02-18,2.766180,2.962240,2.601800,2.872950,2.872950,1038200
2018-02-19,2.852750,3.697920,2.708860,3.443090,3.443090,1528560
2018-02-20,3.508090,4.575260,3.468610,3.908080,3.908080,2076160
2018-02-21,3.880890,3.915560,3.508900,3.528620,3.528620,1102720
2018-02-22,3.531200,4.163530,3.269730,4.055160,4.055160,2167420
2018-02-23,4.047250,4.702440,3.946810,4.694620,4.694620,1623090
2018-02-24,4.701410,5.060950,4.490880,4.841520,4.841520,1219590
2018-02-25,4.834590,4.999050,4.630570,4.673940,4.673940,524865
2018-02-26,4.724470,4.788100,3.122120,3.964110,3.964110,1583130
2018-02-27,4.002570,4.432570,3.710780,4.363550,4.363550,556383
2018-02-28,4.319440,4.889140,4.164300,4.233790,4.233790,702098
2018-03-01,4.237480,4.563810,4.219010,4.385510,4.385510,547252
2018-03-02,4.378100,4.428230,4.277600,4.305570,4.305570,327186
2018-03-03,4.301030,4.461440,4.263160,4.408050,4.408050,257175
2018-03-04,4.384760,4.402590,4.068180,4.258980,4.258980,425664
2018-03-05,4.251100,4.271520,4.003710,4.053690,4.053690,306890
2018-03-06,4.082540,4.082540,3.566930,3.616650,3.616650,925033
2018-03-07,3.579060,3.739390,3.297650,3.396190,3.396190,371408
2018-03-08,3.395010,3.552560,2.904990,3.035910,3.035910,670284
2018-03-09,3.018820,3.168840,2.737050,3.075760,3.075760,502712
2018-03-10,3.064630,3.251010,3.012880,3.014160,3.014160,311390
2018-03-11,3.012670,3.604530,2.916710,3.604530,3.604530,251491
2018-03-12,3.567160,3.895020,3.210860,3.306820,3.306820,360429
2018-03-13,3.302290,3.445470,3.163750,3.380350,3.380350,182144
2018-03-14,3.381540,3.636480,2.948040,3.088530,3.088530,327781
2018-03-15,3.084420,3.294950,2.871520,3.168880,3.168880,240690
2018-03-16,3.162330,3.185880,2.942310,2.942800,2.942800,409957
2018-03-17,2.943510,2.953230,2.731060,2.793160,2.793160,346576
2018-03-18,2.794270,2.828650,2.512250,2.816380,2.816380,411180
2018-03-19,2.811170,3.214890,2.811170,3.021980,3.021980,700166
2018-03-20,3.053620,3.332340,2.851080,3.289490,3.289490,813326
2018-03-21,3.299130,3.537150,3.199790,3.352520,3.352520,753571
2018-03-22,3.380200,3.429220,3.196030,3.339290,3.339290,480031
2018-03-23,3.372820,3.472110,3.204010,3.472110,3.472110,468063
