week,bnb,bitcoin,cardano,ocean protocol,solana,fetch,uniswap,XRP,ethereum,filecoin,singularitynet,kucoin,oasis network,pancakeswap,chainlink,tezos,litecoin,polkadot,dogecoin,monero
2019-04-14,60,11,4,13,9,5,<1,6,3,1,8,3,5,0,5,15,16,6,<1,22
2019-04-21,57,12,3,14,8,0,<1,5,3,1,15,3,4,0,5,11,15,6,<1,21
2019-04-28,53,11,3,32,8,4,<1,6,3,1,10,3,2,0,4,8,15,6,<1,23
2019-05-05,54,14,3,22,8,0,<1,6,3,1,0,3,3,0,6,8,17,6,<1,23
2019-05-12,56,23,5,10,9,0,<1,14,7,1,9,7,5,0,8,13,26,6,1,29
2019-05-19,60,17,4,12,8,0,<1,8,5,1,0,4,4,0,12,9,23,6,<1,26
2019-05-26,60,19,4,10,8,6,<1,11,5,1,7,5,2,0,10,9,30,5,<1,28
2019-06-02,63,15,4,11,8,0,<1,8,3,1,10,4,3,0,7,8,23,5,<1,25
2019-06-09,64,15,3,7,8,0,<1,7,3,1,8,5,5,0,14,8,41,6,<1,24
2019-06-16,64,20,4,6,8,0,<1,10,5,1,0,5,5,0,14,10,32,6,<1,29
2019-06-23,64,31,4,5,8,0,<1,13,7,1,7,6,5,0,33,9,34,7,1,40
2019-06-30,64,21,3,14,8,0,<1,7,6,1,0,5,4,0,29,12,27,6,1,29
2019-07-07,67,20,3,7,9,0,<1,8,10,1,6,5,3,0,18,10,26,7,1,29
2019-07-14,64,21,3,0,8,0,<1,6,14,1,8,4,7,0,13,7,26,7,<1,25
2019-07-21,63,16,3,0,9,0,<1,6,3,1,8,3,3,0,10,7,21,6,<1,22
2019-07-28,64,15,2,0,9,0,<1,5,3,1,10,4,3,0,11,13,23,6,<1,21
2019-08-04,63,18,3,0,8,0,0,6,3,1,6,4,2,0,9,21,26,6,<1,26
2019-08-11,64,17,2,10,8,0,<1,6,3,1,0,3,2,0,9,10,20,5,<1,23
2019-08-18,61,15,3,6,9,0,<1,5,3,1,7,3,4,0,10,8,17,5,<1,22
2019-08-25,57,14,2,9,8,0,<1,5,3,0,7,4,0,0,9,9,16,6,<1,23
2019-09-01,53,14,3,8,8,0,<1,4,3,1,6,3,4,<1,7,8,14,6,<1,23
2019-09-08,48,12,3,7,8,0,<1,5,3,1,6,4,5,0,8,6,14,5,<1,21
