Category: All categories

Week,BNB: (Worldwide)
2019-04-07,56
2019-04-14,60
2019-04-21,57
2019-04-28,53
2019-05-05,54
2019-05-12,56
2019-05-19,60
2019-05-26,60
2019-06-02,63
2019-06-09,64
2019-06-16,64
2019-06-23,64
2019-06-30,64
2019-07-07,67
2019-07-14,64
2019-07-21,63
2019-07-28,64
2019-08-04,63
2019-08-11,64
2019-08-18,61
2019-08-25,57
2019-09-01,53
2019-09-08,48
2019-09-15,52
2019-09-22,49
2019-09-29,49
2019-10-06,50
2019-10-13,49
2019-10-20,50
2019-10-27,48
2019-11-03,49
2019-11-10,46
2019-11-17,45
2019-11-24,42
2019-12-01,42
2019-12-08,41
2019-12-15,41
2019-12-22,48
2019-12-29,57
2020-01-05,60
2020-01-12,60
2020-01-19,55
2020-01-26,53
2020-02-02,55
2020-02-09,54
2020-02-16,57
2020-02-23,52
2020-03-01,52
2020-03-08,43
2020-03-15,28
2020-03-22,20
2020-03-29,19
2020-04-05,19
2020-04-12,21
2020-04-19,21
2020-04-26,25
2020-05-03,27
2020-05-10,33
2020-05-17,37
2020-05-24,42
2020-05-31,44
2020-06-07,51
2020-06-14,53
2020-06-21,58
2020-06-28,58
2020-07-05,60
2020-07-12,58
2020-07-19,60
2020-07-26,61
2020-08-02,59
2020-08-09,56
2020-08-16,52
2020-08-23,48
2020-08-30,45
2020-09-06,44
2020-09-13,42
2020-09-20,40
2020-09-27,40
2020-10-04,37
2020-10-11,36
2020-10-18,34
2020-10-25,33
2020-11-01,26
2020-11-08,30
2020-11-15,30
2020-11-22,29
2020-11-29,30
2020-12-06,39
2020-12-13,34
2020-12-20,31
2020-12-27,40
2021-01-03,39
2021-01-10,39
2021-01-17,42
2021-01-24,38
2021-01-31,43
2021-02-07,53
2021-02-14,68
2021-02-21,65
2021-02-28,58
2021-03-07,56
2021-03-14,55
2021-03-21,54
2021-03-28,60
2021-04-04,69
2021-04-11,89
2021-04-18,97
2021-04-25,76
2021-05-02,83
2021-05-09,100
2021-05-16,79
2021-05-23,73
2021-05-30,70
2021-06-06,71
2021-06-13,65
2021-06-20,67
2021-06-27,64
2021-07-04,70
2021-07-11,69
2021-07-18,68
2021-07-25,74
2021-08-01,68
2021-08-08,68
2021-08-15,69
2021-08-22,67
2021-08-29,62
2021-09-05,60
2021-09-12,60
2021-09-19,61
2021-09-26,59
2021-10-03,59
2021-10-10,64
2021-10-17,62
2021-10-24,65
2021-10-31,72
2021-11-07,69
2021-11-14,64
2021-11-21,64
2021-11-28,66
2021-12-05,63
2021-12-12,60
2021-12-19,59
2021-12-26,70
2022-01-02,84
2022-01-09,87
2022-01-16,75
2022-01-23,79
2022-01-30,79
2022-02-06,80
2022-02-13,76
2022-02-20,74
2022-02-27,70
2022-03-06,71
2022-03-13,63
2022-03-20,63
2022-03-27,60
2022-04-03,61
2022-04-10,59
2022-04-17,60
2022-04-24,58
2022-05-01,58
2022-05-08,62
2022-05-15,55
2022-05-22,58
2022-05-29,56
2022-06-05,56
2022-06-12,57
2022-06-19,56
2022-06-26,54
2022-07-03,57
2022-07-10,55
2022-07-17,57
2022-07-24,54
2022-07-31,52
2022-08-07,53
2022-08-14,50
2022-08-21,48
2022-08-28,47
2022-09-04,41
2022-09-11,41
2022-09-18,45
2022-09-25,42
2022-10-02,43
2022-10-09,42
2022-10-16,40
2022-10-23,39
2022-10-30,43
2022-11-06,44
2022-11-13,39
2022-11-20,37
2022-11-27,37
2022-12-04,35
2022-12-11,39
2022-12-18,37
2022-12-25,39
2023-01-01,43
2023-01-08,48
2023-01-15,46
2023-01-22,44
2023-01-29,46
2023-02-05,46
2023-02-12,44
2023-02-19,46
2023-02-26,44
2023-03-05,45
2023-03-12,43
2023-03-19,46
2023-03-26,44
2023-04-02,44
2023-04-09,45
2023-04-16,46
2023-04-23,43
2023-04-30,43
2023-05-07,42
2023-05-14,42
2023-05-21,43
2023-05-28,45
2023-06-04,48
2023-06-11,47
2023-06-18,47
2023-06-25,51
2023-07-02,52
2023-07-09,55
2023-07-16,54
2023-07-23,52
2023-07-30,52
2023-08-06,53
2023-08-13,49
2023-08-20,45
2023-08-27,43
2023-09-03,41
2023-09-10,41
2023-09-17,42
2023-09-24,42
2023-10-01,41
2023-10-08,39
2023-10-15,38
2023-10-22,40
2023-10-29,36
2023-11-05,38
2023-11-12,38
2023-11-19,40
2023-11-26,39
2023-12-03,37
2023-12-10,37
2023-12-17,38
2023-12-24,51
2023-12-31,51
2024-01-07,48
2024-01-14,50
2024-01-21,51
2024-01-28,53
2024-02-04,55
2024-02-11,51
2024-02-18,56
2024-02-25,58
2024-03-03,62
2024-03-10,63
2024-03-17,58
2024-03-24,55
2024-03-31,55
2024-04-07,58
