Category: All categories

Week,chainlink: (Worldwide)
2019-04-07,5
2019-04-14,5
2019-04-21,5
2019-04-28,4
2019-05-05,6
2019-05-12,8
2019-05-19,12
2019-05-26,10
2019-06-02,7
2019-06-09,14
2019-06-16,14
2019-06-23,33
2019-06-30,29
2019-07-07,18
2019-07-14,13
2019-07-21,10
2019-07-28,11
2019-08-04,9
2019-08-11,9
2019-08-18,10
2019-08-25,9
2019-09-01,7
2019-09-08,8
2019-09-15,9
2019-09-22,9
2019-09-29,8
2019-10-06,16
2019-10-13,9
2019-10-20,11
2019-10-27,9
2019-11-03,7
2019-11-10,10
2019-11-17,9
2019-11-24,7
2019-12-01,7
2019-12-08,6
2019-12-15,7
2019-12-22,5
2019-12-29,6
2020-01-05,8
2020-01-12,10
2020-01-19,8
2020-01-26,8
2020-02-02,10
2020-02-09,19
2020-02-16,17
2020-02-23,13
2020-03-01,17
2020-03-08,15
2020-03-15,11
2020-03-22,8
2020-03-29,9
2020-04-05,15
2020-04-12,17
2020-04-19,16
2020-04-26,16
2020-05-03,15
2020-05-10,14
2020-05-17,14
2020-05-24,12
2020-05-31,15
2020-06-07,11
2020-06-14,14
2020-06-21,18
2020-06-28,12
2020-07-05,30
2020-07-12,58
2020-07-19,29
2020-07-26,30
2020-08-02,49
2020-08-09,100
2020-08-16,67
2020-08-23,35
2020-08-30,34
2020-09-06,25
2020-09-13,22
2020-09-20,26
2020-09-27,18
2020-10-04,16
2020-10-11,16
2020-10-18,18
2020-10-25,17
2020-11-01,17
2020-11-08,20
2020-11-15,26
2020-11-22,26
2020-11-29,21
2020-12-06,18
2020-12-13,20
2020-12-20,26
2020-12-27,34
2021-01-03,50
2021-01-10,51
2021-01-17,57
2021-01-24,51
2021-01-31,50
2021-02-07,65
2021-02-14,65
2021-02-21,48
2021-02-28,41
2021-03-07,46
2021-03-14,45
2021-03-21,31
2021-03-28,37
2021-04-04,39
2021-04-11,64
2021-04-18,48
2021-04-25,42
2021-05-02,70
2021-05-09,58
2021-05-16,48
2021-05-23,45
2021-05-30,31
2021-06-06,27
2021-06-13,23
2021-06-20,25
2021-06-27,20
2021-07-04,20
2021-07-11,18
2021-07-18,18
2021-07-25,22
2021-08-01,24
2021-08-08,24
2021-08-15,24
2021-08-22,23
2021-08-29,25
2021-09-05,33
2021-09-12,23
2021-09-19,21
2021-09-26,23
2021-10-03,22
2021-10-10,24
2021-10-17,28
2021-10-24,30
2021-10-31,28
2021-11-07,33
2021-11-14,25
2021-11-21,24
2021-11-28,23
2021-12-05,26
2021-12-12,20
2021-12-19,18
2021-12-26,21
2022-01-02,38
2022-01-09,32
2022-01-16,24
2022-01-23,24
2022-01-30,22
2022-02-06,20
2022-02-13,19
2022-02-20,19
2022-02-27,19
2022-03-06,16
2022-03-13,19
2022-03-20,20
2022-03-27,22
2022-04-03,17
2022-04-10,17
2022-04-17,18
2022-04-24,17
2022-05-01,18
2022-05-08,24
2022-05-15,18
2022-05-22,15
2022-05-29,16
2022-06-05,20
2022-06-12,20
2022-06-19,15
2022-06-26,16
2022-07-03,13
2022-07-10,13
2022-07-17,13
2022-07-24,13
2022-07-31,13
2022-08-07,15
2022-08-14,13
2022-08-21,12
2022-08-28,11
2022-09-04,12
2022-09-11,12
2022-09-18,12
2022-09-25,17
2022-10-02,15
2022-10-09,14
2022-10-16,12
2022-10-23,13
2022-10-30,14
2022-11-06,16
2022-11-13,15
2022-11-20,12
2022-11-27,14
2022-12-04,14
2022-12-11,11
2022-12-18,10
2022-12-25,10
2023-01-01,10
2023-01-08,10
2023-01-15,13
2023-01-22,11
2023-01-29,11
2023-02-05,12
2023-02-12,11
2023-02-19,12
2023-02-26,11
2023-03-05,10
2023-03-12,11
2023-03-19,13
2023-03-26,11
2023-04-02,12
2023-04-09,14
2023-04-16,14
2023-04-23,12
2023-04-30,11
2023-05-07,11
2023-05-14,10
2023-05-21,10
2023-05-28,10
2023-06-04,13
2023-06-11,13
2023-06-18,11
2023-06-25,11
2023-07-02,11
2023-07-09,12
2023-07-16,19
2023-07-23,14
2023-07-30,11
2023-08-06,11
2023-08-13,11
2023-08-20,10
2023-08-27,12
2023-09-03,12
2023-09-10,11
2023-09-17,14
2023-09-24,17
2023-10-01,15
2023-10-08,11
2023-10-15,14
2023-10-22,28
2023-10-29,19
2023-11-05,35
2023-11-12,23
2023-11-19,18
2023-11-26,21
2023-12-03,25
2023-12-10,20
2023-12-17,17
2023-12-24,20
2023-12-31,18
2024-01-07,17
2024-01-14,18
2024-01-21,18
2024-01-28,21
2024-02-04,26
2024-02-11,26
2024-02-18,21
2024-02-25,26
2024-03-03,28
2024-03-10,26
2024-03-17,21
2024-03-24,20
2024-03-31,17
2024-04-07,17
