Category: All categories

Week,ethereum: (Worldwide)
2019-04-07,3
2019-04-14,3
2019-04-21,3
2019-04-28,3
2019-05-05,3
2019-05-12,7
2019-05-19,5
2019-05-26,5
2019-06-02,3
2019-06-09,3
2019-06-16,5
2019-06-23,7
2019-06-30,6
2019-07-07,10
2019-07-14,14
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,3
2019-08-25,3
2019-09-01,3
2019-09-08,3
2019-09-15,3
2019-09-22,3
2019-09-29,2
2019-10-06,2
2019-10-13,2
2019-10-20,3
2019-10-27,2
2019-11-03,2
2019-11-10,2
2019-11-17,3
2019-11-24,3
2019-12-01,2
2019-12-08,2
2019-12-15,3
2019-12-22,3
2019-12-29,3
2020-01-05,3
2020-01-12,4
2020-01-19,3
2020-01-26,4
2020-02-02,5
2020-02-09,8
2020-02-16,6
2020-02-23,5
2020-03-01,4
2020-03-08,6
2020-03-15,5
2020-03-22,4
2020-03-29,4
2020-04-05,4
2020-04-12,4
2020-04-19,5
2020-04-26,7
2020-05-03,6
2020-05-10,6
2020-05-17,6
2020-05-24,5
2020-05-31,7
2020-06-07,6
2020-06-14,5
2020-06-21,5
2020-06-28,5
2020-07-05,6
2020-07-12,5
2020-07-19,8
2020-07-26,14
2020-08-02,14
2020-08-09,11
2020-08-16,10
2020-08-23,7
2020-08-30,11
2020-09-06,8
2020-09-13,7
2020-09-20,6
2020-09-27,5
2020-10-04,5
2020-10-11,5
2020-10-18,6
2020-10-25,6
2020-11-01,7
2020-11-08,8
2020-11-15,10
2020-11-22,17
2020-11-29,13
2020-12-06,9
2020-12-13,13
2020-12-20,13
2020-12-27,23
2021-01-03,59
2021-01-10,48
2021-01-17,39
2021-01-24,37
2021-01-31,45
2021-02-07,54
2021-02-14,51
2021-02-21,51
2021-02-28,34
2021-03-07,37
2021-03-14,31
2021-03-21,27
2021-03-28,35
2021-04-04,35
2021-04-11,46
2021-04-18,48
2021-04-25,48
2021-05-02,94
2021-05-09,100
2021-05-16,89
2021-05-23,70
2021-05-30,48
2021-06-06,40
2021-06-13,32
2021-06-20,39
2021-06-27,31
2021-07-04,29
2021-07-11,25
2021-07-18,29
2021-07-25,32
2021-08-01,44
2021-08-08,44
2021-08-15,36
2021-08-22,32
2021-08-29,40
2021-09-05,38
2021-09-12,28
2021-09-19,31
2021-09-26,27
2021-10-03,31
2021-10-10,33
2021-10-17,41
2021-10-24,38
2021-10-31,42
2021-11-07,46
2021-11-14,41
2021-11-21,37
2021-11-28,42
2021-12-05,37
2021-12-12,34
2021-12-19,31
2021-12-26,31
2022-01-02,39
2022-01-09,37
2022-01-16,35
2022-01-23,46
2022-01-30,38
2022-02-06,34
2022-02-13,30
2022-02-20,32
2022-02-27,28
2022-03-06,25
2022-03-13,22
2022-03-20,26
2022-03-27,29
2022-04-03,23
2022-04-10,23
2022-04-17,19
2022-04-24,18
2022-05-01,20
2022-05-08,35
2022-05-15,24
2022-05-22,22
2022-05-29,20
2022-06-05,20
2022-06-12,45
2022-06-19,30
2022-06-26,24
2022-07-03,21
2022-07-10,20
2022-07-17,28
2022-07-24,23
2022-07-31,22
2022-08-07,25
2022-08-14,24
2022-08-21,21
2022-08-28,20
2022-09-04,22
2022-09-11,43
2022-09-18,24
2022-09-25,17
2022-10-02,14
2022-10-09,13
2022-10-16,12
2022-10-23,16
2022-10-30,16
2022-11-06,22
2022-11-13,18
2022-11-20,15
2022-11-27,13
2022-12-04,11
2022-12-11,12
2022-12-18,12
2022-12-25,11
2023-01-01,12
2023-01-08,14
2023-01-15,16
2023-01-22,14
2023-01-29,14
2023-02-05,12
2023-02-12,13
2023-02-19,12
2023-02-26,11
2023-03-05,11
2023-03-12,15
2023-03-19,15
2023-03-26,12
2023-04-02,13
2023-04-09,18
2023-04-16,15
2023-04-23,12
2023-04-30,11
2023-05-07,11
2023-05-14,9
2023-05-21,9
2023-05-28,10
2023-06-04,10
2023-06-11,10
2023-06-18,11
2023-06-25,10
2023-07-02,10
2023-07-09,10
2023-07-16,10
2023-07-23,9
2023-07-30,8
2023-08-06,8
2023-08-13,9
2023-08-20,8
2023-08-27,8
2023-09-03,8
2023-09-10,7
2023-09-17,7
2023-09-24,7
2023-10-01,7
2023-10-08,7
2023-10-15,8
2023-10-22,11
2023-10-29,10
2023-11-05,13
2023-11-12,12
2023-11-19,11
2023-11-26,11
2023-12-03,17
2023-12-10,13
2023-12-17,12
2023-12-24,13
2023-12-31,13
2024-01-07,20
2024-01-14,14
2024-01-21,11
2024-01-28,10
2024-02-04,11
2024-02-11,15
2024-02-18,16
2024-02-25,26
2024-03-03,30
2024-03-10,29
2024-03-17,22
2024-03-24,17
2024-03-31,14
2024-04-07,15
