Category: All categories

Week,kucoin: (Worldwide)
2019-04-07,4
2019-04-14,3
2019-04-21,3
2019-04-28,3
2019-05-05,3
2019-05-12,7
2019-05-19,4
2019-05-26,5
2019-06-02,4
2019-06-09,5
2019-06-16,5
2019-06-23,6
2019-06-30,5
2019-07-07,5
2019-07-14,4
2019-07-21,3
2019-07-28,4
2019-08-04,4
2019-08-11,3
2019-08-18,3
2019-08-25,4
2019-09-01,3
2019-09-08,4
2019-09-15,4
2019-09-22,3
2019-09-29,3
2019-10-06,3
2019-10-13,3
2019-10-20,2
2019-10-27,3
2019-11-03,3
2019-11-10,3
2019-11-17,3
2019-11-24,3
2019-12-01,3
2019-12-08,2
2019-12-15,2
2019-12-22,2
2019-12-29,3
2020-01-05,3
2020-01-12,4
2020-01-19,3
2020-01-26,3
2020-02-02,4
2020-02-09,5
2020-02-16,3
2020-02-23,3
2020-03-01,3
2020-03-08,2
2020-03-15,3
2020-03-22,3
2020-03-29,2
2020-04-05,3
2020-04-12,3
2020-04-19,3
2020-04-26,4
2020-05-03,4
2020-05-10,6
2020-05-17,5
2020-05-24,4
2020-05-31,4
2020-06-07,4
2020-06-14,4
2020-06-21,3
2020-06-28,4
2020-07-05,4
2020-07-12,5
2020-07-19,7
2020-07-26,7
2020-08-02,7
2020-08-09,8
2020-08-16,8
2020-08-23,6
2020-08-30,6
2020-09-06,5
2020-09-13,4
2020-09-20,7
2020-09-27,7
2020-10-04,4
2020-10-11,3
2020-10-18,3
2020-10-25,3
2020-11-01,3
2020-11-08,3
2020-11-15,5
2020-11-22,6
2020-11-29,4
2020-12-06,4
2020-12-13,4
2020-12-20,5
2020-12-27,6
2021-01-03,11
2021-01-10,8
2021-01-17,8
2021-01-24,10
2021-01-31,15
2021-02-07,25
2021-02-14,25
2021-02-21,23
2021-02-28,16
2021-03-07,25
2021-03-14,33
2021-03-21,27
2021-03-28,32
2021-04-04,42
2021-04-11,43
2021-04-18,43
2021-04-25,38
2021-05-02,55
2021-05-09,83
2021-05-16,42
2021-05-23,29
2021-05-30,23
2021-06-06,18
2021-06-13,17
2021-06-20,14
2021-06-27,15
2021-07-04,21
2021-07-11,17
2021-07-18,14
2021-07-25,18
2021-08-01,20
2021-08-08,24
2021-08-15,30
2021-08-22,36
2021-08-29,34
2021-09-05,39
2021-09-12,34
2021-09-19,28
2021-09-26,28
2021-10-03,41
2021-10-10,40
2021-10-17,46
2021-10-24,82
2021-10-31,100
2021-11-07,97
2021-11-14,78
2021-11-21,77
2021-11-28,81
2021-12-05,50
2021-12-12,49
2021-12-19,47
2021-12-26,48
2022-01-02,67
2022-01-09,58
2022-01-16,47
2022-01-23,49
2022-01-30,45
2022-02-06,48
2022-02-13,40
2022-02-20,36
2022-02-27,37
2022-03-06,35
2022-03-13,33
2022-03-20,35
2022-03-27,45
2022-04-03,47
2022-04-10,38
2022-04-17,36
2022-04-24,34
2022-05-01,35
2022-05-08,72
2022-05-15,44
2022-05-22,59
2022-05-29,47
2022-06-05,32
2022-06-12,31
2022-06-19,28
2022-06-26,35
2022-07-03,31
2022-07-10,25
2022-07-17,27
2022-07-24,29
2022-07-31,25
2022-08-07,25
2022-08-14,26
2022-08-21,23
2022-08-28,23
2022-09-04,28
2022-09-11,29
2022-09-18,24
2022-09-25,24
2022-10-02,20
2022-10-09,21
2022-10-16,20
2022-10-23,21
2022-10-30,23
2022-11-06,33
2022-11-13,26
2022-11-20,22
2022-11-27,31
2022-12-04,20
2022-12-11,16
2022-12-18,16
2022-12-25,16
2023-01-01,15
2023-01-08,20
2023-01-15,21
2023-01-22,20
2023-01-29,22
2023-02-05,23
2023-02-12,25
2023-02-19,23
2023-02-26,20
2023-03-05,22
2023-03-12,21
2023-03-19,23
2023-03-26,21
2023-04-02,19
2023-04-09,23
2023-04-16,38
2023-04-23,24
2023-04-30,23
2023-05-07,19
2023-05-14,17
2023-05-21,15
2023-05-28,17
2023-06-04,18
2023-06-11,17
2023-06-18,18
2023-06-25,20
2023-07-02,18
2023-07-09,22
2023-07-16,18
2023-07-23,18
2023-07-30,16
2023-08-06,15
2023-08-13,14
2023-08-20,13
2023-08-27,13
2023-09-03,12
2023-09-10,11
2023-09-17,12
2023-09-24,12
2023-10-01,11
2023-10-08,13
2023-10-15,12
2023-10-22,16
2023-10-29,16
2023-11-05,19
2023-11-12,19
2023-11-19,20
2023-11-26,18
2023-12-03,27
2023-12-10,26
2023-12-17,27
2023-12-24,25
2023-12-31,26
2024-01-07,25
2024-01-14,21
2024-01-21,18
2024-01-28,21
2024-02-04,19
2024-02-11,22
2024-02-18,28
2024-02-25,36
2024-03-03,46
2024-03-10,43
2024-03-17,35
2024-03-24,61
2024-03-31,32
2024-04-07,26
