Category: All categories

Week,litecoin: (Worldwide)
2019-04-07,21
2019-04-14,16
2019-04-21,15
2019-04-28,15
2019-05-05,17
2019-05-12,26
2019-05-19,23
2019-05-26,30
2019-06-02,23
2019-06-09,41
2019-06-16,32
2019-06-23,34
2019-06-30,27
2019-07-07,26
2019-07-14,26
2019-07-21,21
2019-07-28,23
2019-08-04,26
2019-08-11,20
2019-08-18,17
2019-08-25,16
2019-09-01,14
2019-09-08,14
2019-09-15,15
2019-09-22,15
2019-09-29,12
2019-10-06,11
2019-10-13,11
2019-10-20,12
2019-10-27,12
2019-11-03,12
2019-11-10,11
2019-11-17,12
2019-11-24,11
2019-12-01,10
2019-12-08,9
2019-12-15,11
2019-12-22,12
2019-12-29,11
2020-01-05,13
2020-01-12,16
2020-01-19,13
2020-01-26,17
2020-02-02,19
2020-02-09,20
2020-02-16,16
2020-02-23,14
2020-03-01,12
2020-03-08,18
2020-03-15,16
2020-03-22,14
2020-03-29,12
2020-04-05,13
2020-04-12,13
2020-04-19,13
2020-04-26,15
2020-05-03,15
2020-05-10,15
2020-05-17,13
2020-05-24,12
2020-05-31,13
2020-06-07,11
2020-06-14,11
2020-06-21,10
2020-06-28,10
2020-07-05,11
2020-07-12,11
2020-07-19,12
2020-07-26,19
2020-08-02,18
2020-08-09,15
2020-08-16,18
2020-08-23,13
2020-08-30,15
2020-09-06,12
2020-09-13,11
2020-09-20,10
2020-09-27,10
2020-10-04,9
2020-10-11,10
2020-10-18,14
2020-10-25,14
2020-11-01,13
2020-11-08,15
2020-11-15,29
2020-11-22,27
2020-11-29,21
2020-12-06,19
2020-12-13,28
2020-12-20,41
2020-12-27,51
2021-01-03,100
2021-01-10,70
2021-01-17,50
2021-01-24,45
2021-01-31,53
2021-02-07,81
2021-02-14,94
2021-02-21,74
2021-02-28,49
2021-03-07,56
2021-03-14,49
2021-03-21,37
2021-03-28,43
2021-04-04,54
2021-04-11,83
2021-04-18,71
2021-04-25,55
2021-05-02,91
2021-05-09,90
2021-05-16,71
2021-05-23,58
2021-05-30,37
2021-06-06,28
2021-06-13,24
2021-06-20,28
2021-06-27,23
2021-07-04,19
2021-07-11,18
2021-07-18,21
2021-07-25,21
2021-08-01,21
2021-08-08,27
2021-08-15,29
2021-08-22,23
2021-08-29,27
2021-09-05,30
2021-09-12,32
2021-09-19,23
2021-09-26,19
2021-10-03,23
2021-10-10,25
2021-10-17,29
2021-10-24,25
2021-10-31,25
2021-11-07,49
2021-11-14,33
2021-11-21,26
2021-11-28,25
2021-12-05,26
2021-12-12,21
2021-12-19,22
2021-12-26,22
2022-01-02,22
2022-01-09,22
2022-01-16,23
2022-01-23,22
2022-01-30,22
2022-02-06,20
2022-02-13,17
2022-02-20,20
2022-02-27,18
2022-03-06,17
2022-03-13,16
2022-03-20,19
2022-03-27,18
2022-04-03,16
2022-04-10,15
2022-04-17,14
2022-04-24,13
2022-05-01,14
2022-05-08,19
2022-05-15,15
2022-05-22,14
2022-05-29,12
2022-06-05,12
2022-06-12,17
2022-06-19,14
2022-06-26,12
2022-07-03,11
2022-07-10,10
2022-07-17,12
2022-07-24,11
2022-07-31,10
2022-08-07,11
2022-08-14,11
2022-08-21,10
2022-08-28,9
2022-09-04,9
2022-09-11,9
2022-09-18,10
2022-09-25,9
2022-10-02,8
2022-10-09,8
2022-10-16,7
2022-10-23,8
2022-10-30,11
2022-11-06,12
2022-11-13,11
2022-11-20,15
2022-11-27,11
2022-12-04,10
2022-12-11,9
2022-12-18,9
2022-12-25,10
2023-01-01,10
2023-01-08,12
2023-01-15,12
2023-01-22,10
2023-01-29,13
2023-02-05,11
2023-02-12,10
2023-02-19,9
2023-02-26,8
2023-03-05,9
2023-03-12,10
2023-03-19,10
2023-03-26,11
2023-04-02,9
2023-04-09,10
2023-04-16,10
2023-04-23,9
2023-04-30,8
2023-05-07,9
2023-05-14,10
2023-05-21,10
2023-05-28,10
2023-06-04,10
2023-06-11,10
2023-06-18,11
2023-06-25,13
2023-07-02,16
2023-07-09,13
2023-07-16,12
2023-07-23,12
2023-07-30,17
2023-08-06,9
2023-08-13,10
2023-08-20,9
2023-08-27,9
2023-09-03,7
2023-09-10,8
2023-09-17,8
2023-09-24,7
2023-10-01,8
2023-10-08,7
2023-10-15,7
2023-10-22,9
2023-10-29,8
2023-11-05,9
2023-11-12,9
2023-11-19,8
2023-11-26,8
2023-12-03,11
2023-12-10,9
2023-12-17,10
2023-12-24,10
2023-12-31,10
2024-01-07,11
2024-01-14,9
2024-01-21,8
2024-01-28,8
2024-02-04,8
2024-02-11,10
2024-02-18,9
2024-02-25,14
2024-03-03,18
2024-03-10,17
2024-03-17,12
2024-03-24,15
2024-03-31,15
2024-04-07,12
