Category: All categories

Week,monero: (Worldwide)
2019-04-07,23
2019-04-14,22
2019-04-21,21
2019-04-28,23
2019-05-05,23
2019-05-12,29
2019-05-19,26
2019-05-26,28
2019-06-02,25
2019-06-09,24
2019-06-16,29
2019-06-23,40
2019-06-30,29
2019-07-07,29
2019-07-14,25
2019-07-21,22
2019-07-28,21
2019-08-04,26
2019-08-11,23
2019-08-18,22
2019-08-25,23
2019-09-01,23
2019-09-08,21
2019-09-15,23
2019-09-22,23
2019-09-29,19
2019-10-06,20
2019-10-13,23
2019-10-20,23
2019-10-27,23
2019-11-03,23
2019-11-10,23
2019-11-17,24
2019-11-24,28
2019-12-01,26
2019-12-08,22
2019-12-15,25
2019-12-22,21
2019-12-29,23
2020-01-05,26
2020-01-12,23
2020-01-19,22
2020-01-26,22
2020-02-02,24
2020-02-09,28
2020-02-16,24
2020-02-23,20
2020-03-01,21
2020-03-08,23
2020-03-15,22
2020-03-22,22
2020-03-29,29
2020-04-05,30
2020-04-12,25
2020-04-19,25
2020-04-26,29
2020-05-03,29
2020-05-10,31
2020-05-17,30
2020-05-24,24
2020-05-31,24
2020-06-07,23
2020-06-14,21
2020-06-21,22
2020-06-28,20
2020-07-05,21
2020-07-12,22
2020-07-19,24
2020-07-26,25
2020-08-02,26
2020-08-09,23
2020-08-16,26
2020-08-23,27
2020-08-30,26
2020-09-06,34
2020-09-13,26
2020-09-20,22
2020-09-27,25
2020-10-04,26
2020-10-11,26
2020-10-18,32
2020-10-25,27
2020-11-01,29
2020-11-08,26
2020-11-15,30
2020-11-22,32
2020-11-29,30
2020-12-06,32
2020-12-13,53
2020-12-20,39
2020-12-27,64
2021-01-03,72
2021-01-10,65
2021-01-17,54
2021-01-24,50
2021-01-31,52
2021-02-07,75
2021-02-14,100
2021-02-21,77
2021-02-28,61
2021-03-07,56
2021-03-14,62
2021-03-21,53
2021-03-28,64
2021-04-04,64
2021-04-11,84
2021-04-18,96
2021-04-25,76
2021-05-02,88
2021-05-09,91
2021-05-16,89
2021-05-23,66
2021-05-30,57
2021-06-06,51
2021-06-13,50
2021-06-20,55
2021-06-27,51
2021-07-04,44
2021-07-11,36
2021-07-18,33
2021-07-25,37
2021-08-01,39
2021-08-08,39
2021-08-15,40
2021-08-22,48
2021-08-29,42
2021-09-05,41
2021-09-12,37
2021-09-19,37
2021-09-26,33
2021-10-03,37
2021-10-10,41
2021-10-17,40
2021-10-24,42
2021-10-31,40
2021-11-07,50
2021-11-14,56
2021-11-21,49
2021-11-28,45
2021-12-05,44
2021-12-12,39
2021-12-19,39
2021-12-26,44
2022-01-02,54
2022-01-09,52
2022-01-16,52
2022-01-23,50
2022-01-30,48
2022-02-06,50
2022-02-13,51
2022-02-20,48
2022-02-27,50
2022-03-06,53
2022-03-13,47
2022-03-20,43
2022-03-27,47
2022-04-03,46
2022-04-10,50
2022-04-17,56
2022-04-24,48
2022-05-01,46
2022-05-08,51
2022-05-15,44
2022-05-22,43
2022-05-29,38
2022-06-05,34
2022-06-12,42
2022-06-19,44
2022-06-26,35
2022-07-03,35
2022-07-10,35
2022-07-17,34
2022-07-24,33
2022-07-31,32
2022-08-07,36
2022-08-14,44
2022-08-21,33
2022-08-28,31
2022-09-04,29
2022-09-11,35
2022-09-18,36
2022-09-25,31
2022-10-02,30
2022-10-09,30
2022-10-16,28
2022-10-23,27
2022-10-30,23
2022-11-06,31
2022-11-13,33
2022-11-20,28
2022-11-27,30
2022-12-04,27
2022-12-11,28
2022-12-18,29
2022-12-25,22
2023-01-01,27
2023-01-08,27
2023-01-15,28
2023-01-22,27
2023-01-29,28
2023-02-05,24
2023-02-12,25
2023-02-19,25
2023-02-26,22
2023-03-05,22
2023-03-12,27
2023-03-19,27
2023-03-26,33
2023-04-02,26
2023-04-09,28
2023-04-16,28
2023-04-23,22
2023-04-30,23
2023-05-07,25
2023-05-14,23
2023-05-21,21
2023-05-28,23
2023-06-04,23
2023-06-11,24
2023-06-18,23
2023-06-25,27
2023-07-02,23
2023-07-09,24
2023-07-16,25
2023-07-23,24
2023-07-30,24
2023-08-06,25
2023-08-13,24
2023-08-20,24
2023-08-27,25
2023-09-03,24
2023-09-10,22
2023-09-17,23
2023-09-24,22
2023-10-01,23
2023-10-08,21
2023-10-15,21
2023-10-22,24
2023-10-29,24
2023-11-05,27
2023-11-12,26
2023-11-19,28
2023-11-26,25
2023-12-03,28
2023-12-10,25
2023-12-17,27
2023-12-24,26
2023-12-31,29
2024-01-07,31
2024-01-14,30
2024-01-21,28
2024-01-28,30
2024-02-04,63
2024-02-11,40
2024-02-18,37
2024-02-25,40
2024-03-03,42
2024-03-10,39
2024-03-17,35
2024-03-24,37
2024-03-31,34
2024-04-07,31
