Category: All categories

Week,solana: (Worldwide)
2019-04-07,8
2019-04-14,9
2019-04-21,8
2019-04-28,8
2019-05-05,8
2019-05-12,9
2019-05-19,8
2019-05-26,8
2019-06-02,8
2019-06-09,8
2019-06-16,8
2019-06-23,8
2019-06-30,8
2019-07-07,9
2019-07-14,8
2019-07-21,9
2019-07-28,9
2019-08-04,8
2019-08-11,8
2019-08-18,9
2019-08-25,8
2019-09-01,8
2019-09-08,8
2019-09-15,8
2019-09-22,7
2019-09-29,8
2019-10-06,7
2019-10-13,10
2019-10-20,7
2019-10-27,7
2019-11-03,8
2019-11-10,8
2019-11-17,8
2019-11-24,7
2019-12-01,7
2019-12-08,7
2019-12-15,8
2019-12-22,7
2019-12-29,8
2020-01-05,8
2020-01-12,8
2020-01-19,8
2020-01-26,8
2020-02-02,7
2020-02-09,8
2020-02-16,8
2020-02-23,8
2020-03-01,8
2020-03-08,9
2020-03-15,7
2020-03-22,7
2020-03-29,6
2020-04-05,7
2020-04-12,8
2020-04-19,6
2020-04-26,6
2020-05-03,7
2020-05-10,6
2020-05-17,7
2020-05-24,7
2020-05-31,7
2020-06-07,8
2020-06-14,7
2020-06-21,8
2020-06-28,8
2020-07-05,8
2020-07-12,7
2020-07-19,8
2020-07-26,8
2020-08-02,9
2020-08-09,9
2020-08-16,8
2020-08-23,8
2020-08-30,8
2020-09-06,8
2020-09-13,8
2020-09-20,7
2020-09-27,7
2020-10-04,7
2020-10-11,7
2020-10-18,7
2020-10-25,7
2020-11-01,7
2020-11-08,7
2020-11-15,7
2020-11-22,7
2020-11-29,7
2020-12-06,7
2020-12-13,7
2020-12-20,6
2020-12-27,8
2021-01-03,9
2021-01-10,7
2021-01-17,7
2021-01-24,7
2021-01-31,8
2021-02-07,8
2021-02-14,8
2021-02-21,10
2021-02-28,9
2021-03-07,9
2021-03-14,8
2021-03-21,8
2021-03-28,11
2021-04-04,11
2021-04-11,12
2021-04-18,14
2021-04-25,22
2021-05-02,18
2021-05-09,19
2021-05-16,22
2021-05-23,15
2021-05-30,15
2021-06-06,16
2021-06-13,14
2021-06-20,13
2021-06-27,13
2021-07-04,12
2021-07-11,11
2021-07-18,12
2021-07-25,12
2021-08-01,12
2021-08-08,13
2021-08-15,35
2021-08-22,33
2021-08-29,74
2021-09-05,94
2021-09-12,68
2021-09-19,42
2021-09-26,33
2021-10-03,41
2021-10-10,38
2021-10-17,47
2021-10-24,52
2021-10-31,64
2021-11-07,77
2021-11-14,57
2021-11-21,50
2021-11-28,57
2021-12-05,48
2021-12-12,46
2021-12-19,44
2021-12-26,44
2022-01-02,61
2022-01-09,55
2022-01-16,59
2022-01-23,65
2022-01-30,60
2022-02-06,50
2022-02-13,43
2022-02-20,44
2022-02-27,40
2022-03-06,35
2022-03-13,34
2022-03-20,37
2022-03-27,51
2022-04-03,45
2022-04-10,40
2022-04-17,39
2022-04-24,42
2022-05-01,43
2022-05-08,53
2022-05-15,43
2022-05-22,38
2022-05-29,47
2022-06-05,35
2022-06-12,38
2022-06-19,39
2022-06-26,30
2022-07-03,27
2022-07-10,25
2022-07-17,29
2022-07-24,25
2022-07-31,35
2022-08-07,25
2022-08-14,22
2022-08-21,21
2022-08-28,20
2022-09-04,21
2022-09-11,22
2022-09-18,21
2022-09-25,20
2022-10-02,17
2022-10-09,18
2022-10-16,17
2022-10-23,17
2022-10-30,21
2022-11-06,64
2022-11-13,38
2022-11-20,24
2022-11-27,18
2022-12-04,16
2022-12-11,17
2022-12-18,15
2022-12-25,26
2023-01-01,29
2023-01-08,30
2023-01-15,29
2023-01-22,22
2023-01-29,20
2023-02-05,17
2023-02-12,17
2023-02-19,22
2023-02-26,17
2023-03-05,17
2023-03-12,17
2023-03-19,17
2023-03-26,15
2023-04-02,14
2023-04-09,20
2023-04-16,18
2023-04-23,16
2023-04-30,14
2023-05-07,14
2023-05-14,14
2023-05-21,14
2023-05-28,14
2023-06-04,17
2023-06-11,18
2023-06-18,13
2023-06-25,15
2023-07-02,17
2023-07-09,22
2023-07-16,18
2023-07-23,15
2023-07-30,15
2023-08-06,15
2023-08-13,15
2023-08-20,15
2023-08-27,14
2023-09-03,16
2023-09-10,15
2023-09-17,13
2023-09-24,12
2023-10-01,16
2023-10-08,13
2023-10-15,18
2023-10-22,24
2023-10-29,38
2023-11-05,40
2023-11-12,43
2023-11-19,32
2023-11-26,31
2023-12-03,45
2023-12-10,47
2023-12-17,72
2023-12-24,96
2023-12-31,56
2024-01-07,48
2024-01-14,44
2024-01-21,41
2024-01-28,47
2024-02-04,45
2024-02-11,44
2024-02-18,36
2024-02-25,54
2024-03-03,73
2024-03-10,94
2024-03-17,100
2024-03-24,74
2024-03-31,71
2024-04-07,66
