Category: All categories

Week,tezos: (Worldwide)
2019-04-07,8
2019-04-14,15
2019-04-21,11
2019-04-28,8
2019-05-05,8
2019-05-12,13
2019-05-19,9
2019-05-26,9
2019-06-02,8
2019-06-09,8
2019-06-16,10
2019-06-23,9
2019-06-30,12
2019-07-07,10
2019-07-14,7
2019-07-21,7
2019-07-28,13
2019-08-04,21
2019-08-11,10
2019-08-18,8
2019-08-25,9
2019-09-01,8
2019-09-08,6
2019-09-15,7
2019-09-22,7
2019-09-29,5
2019-10-06,5
2019-10-13,6
2019-10-20,6
2019-10-27,6
2019-11-03,17
2019-11-10,11
2019-11-17,14
2019-11-24,13
2019-12-01,12
2019-12-08,27
2019-12-15,17
2019-12-22,11
2019-12-29,12
2020-01-05,10
2020-01-12,11
2020-01-19,14
2020-01-26,13
2020-02-02,28
2020-02-09,61
2020-02-16,44
2020-02-23,27
2020-03-01,23
2020-03-08,21
2020-03-15,16
2020-03-22,14
2020-03-29,14
2020-04-05,18
2020-04-12,17
2020-04-19,27
2020-04-26,32
2020-05-03,23
2020-05-10,25
2020-05-17,31
2020-05-24,23
2020-05-31,23
2020-06-07,19
2020-06-14,19
2020-06-21,17
2020-06-28,16
2020-07-05,17
2020-07-12,28
2020-07-19,20
2020-07-26,22
2020-08-02,24
2020-08-09,44
2020-08-16,26
2020-08-23,18
2020-08-30,19
2020-09-06,14
2020-09-13,16
2020-09-20,16
2020-09-27,14
2020-10-04,12
2020-10-11,10
2020-10-18,12
2020-10-25,12
2020-11-01,13
2020-11-08,14
2020-11-15,16
2020-11-22,22
2020-11-29,16
2020-12-06,15
2020-12-13,18
2020-12-20,20
2020-12-27,23
2021-01-03,33
2021-01-10,28
2021-01-17,29
2021-01-24,27
2021-01-31,32
2021-02-07,55
2021-02-14,45
2021-02-21,34
2021-02-28,26
2021-03-07,26
2021-03-14,24
2021-03-21,24
2021-03-28,29
2021-04-04,42
2021-04-11,44
2021-04-18,38
2021-04-25,32
2021-05-02,43
2021-05-09,42
2021-05-16,37
2021-05-23,29
2021-05-30,22
2021-06-06,25
2021-06-13,20
2021-06-20,23
2021-06-27,19
2021-07-04,16
2021-07-11,15
2021-07-18,15
2021-07-25,14
2021-08-01,18
2021-08-08,17
2021-08-15,22
2021-08-22,47
2021-08-29,54
2021-09-05,43
2021-09-12,59
2021-09-19,47
2021-09-26,38
2021-10-03,55
2021-10-10,39
2021-10-17,29
2021-10-24,33
2021-10-31,31
2021-11-07,32
2021-11-14,30
2021-11-21,24
2021-11-28,35
2021-12-05,53
2021-12-12,31
2021-12-19,25
2021-12-26,25
2022-01-02,38
2022-01-09,38
2022-01-16,30
2022-01-23,28
2022-01-30,46
2022-02-06,100
2022-02-13,44
2022-02-20,39
2022-02-27,26
2022-03-06,30
2022-03-13,31
2022-03-20,31
2022-03-27,30
2022-04-03,27
2022-04-10,22
2022-04-17,21
2022-04-24,21
2022-05-01,23
2022-05-08,25
2022-05-15,19
2022-05-22,20
2022-05-29,20
2022-06-05,18
2022-06-12,21
2022-06-19,19
2022-06-26,20
2022-07-03,19
2022-07-10,22
2022-07-17,19
2022-07-24,18
2022-07-31,19
2022-08-07,19
2022-08-14,14
2022-08-21,19
2022-08-28,15
2022-09-04,16
2022-09-11,14
2022-09-18,13
2022-09-25,13
2022-10-02,12
2022-10-09,11
2022-10-16,12
2022-10-23,14
2022-10-30,14
2022-11-06,14
2022-11-13,16
2022-11-20,12
2022-11-27,10
2022-12-04,9
2022-12-11,13
2022-12-18,13
2022-12-25,12
2023-01-01,11
2023-01-08,12
2023-01-15,13
2023-01-22,12
2023-01-29,13
2023-02-05,10
2023-02-12,11
2023-02-19,18
2023-02-26,13
2023-03-05,10
2023-03-12,10
2023-03-19,8
2023-03-26,10
2023-04-02,10
2023-04-09,9
2023-04-16,9
2023-04-23,7
2023-04-30,8
2023-05-07,8
2023-05-14,8
2023-05-21,10
2023-05-28,9
2023-06-04,8
2023-06-11,8
2023-06-18,8
2023-06-25,8
2023-07-02,9
2023-07-09,9
2023-07-16,9
2023-07-23,8
2023-07-30,8
2023-08-06,9
2023-08-13,8
2023-08-20,8
2023-08-27,8
2023-09-03,7
2023-09-10,6
2023-09-17,6
2023-09-24,7
2023-10-01,9
2023-10-08,7
2023-10-15,6
2023-10-22,8
2023-10-29,7
2023-11-05,8
2023-11-12,9
2023-11-19,7
2023-11-26,8
2023-12-03,9
2023-12-10,8
2023-12-17,8
2023-12-24,10
2023-12-31,7
2024-01-07,8
2024-01-14,8
2024-01-21,6
2024-01-28,6
2024-02-04,8
2024-02-11,8
2024-02-18,8
2024-02-25,12
2024-03-03,14
2024-03-10,10
2024-03-17,8
2024-03-24,8
2024-03-31,7
2024-04-07,8
