week,XRP,dogecoin,kucoin,fetch,ethereum,bitcoin,filecoin,monero,tezos,chainlink,cardano,singularitynet,uniswap,litecoin,pancakeswap,polkadot,ocean protocol,solana,bnb,oasis network
2019-04-14,6,0.0,3,5,3,11,1.0,22,15,5,4,8,0.0,16,0.0,6,13,9,60,5
2019-04-21,5,0.0,3,0,3,12,1.0,21,11,5,3,15,0.0,15,0.0,6,14,8,57,4
2019-04-28,6,0.0,3,4,3,11,1.0,23,8,4,3,10,0.0,15,0.0,6,32,8,53,2
2019-05-05,6,0.0,3,0,3,14,1.0,23,8,6,3,0,0.0,17,0.0,6,22,8,54,3
2019-05-12,14,1.0,7,0,7,23,1.0,29,13,8,5,9,0.0,26,0.0,6,10,9,56,5
2019-05-19,8,0.0,4,0,5,17,1.0,26,9,12,4,0,0.0,23,0.0,6,12,8,60,4
2019-05-26,11,0.0,5,6,5,19,1.0,28,9,10,4,7,0.0,30,0.0,5,10,8,60,2
2019-06-02,8,0.0,4,0,3,15,1.0,25,8,7,4,10,0.0,23,0.0,5,11,8,63,3
2019-06-09,7,0.0,5,0,3,15,1.0,24,8,14,3,8,0.0,41,0.0,6,7,8,64,5
2019-06-16,10,0.0,5,0,5,20,1.0,29,10,14,4,0,0.0,32,0.0,6,6,8,64,5
2019-06-23,13,1.0,6,0,7,31,1.0,40,9,33,4,7,0.0,34,0.0,7,5,8,64,5
2019-06-30,7,1.0,5,0,6,21,1.0,29,12,29,3,0,0.0,27,0.0,6,14,8,64,4
2019-07-07,8,1.0,5,0,10,20,1.0,29,10,18,3,6,0.0,26,0.0,7,7,9,67,3
2019-07-14,6,0.0,4,0,14,21,1.0,25,7,13,3,8,0.0,26,0.0,7,0,8,64,7
2019-07-21,6,0.0,3,0,3,16,1.0,22,7,10,3,8,0.0,21,0.0,6,0,9,63,3
2019-07-28,5,0.0,4,0,3,15,1.0,21,13,11,2,10,0.0,23,0.0,6,0,9,64,3
2019-08-04,6,0.0,4,0,3,18,1.0,26,21,9,3,6,0.0,26,0.0,6,0,8,63,2
2019-08-11,6,0.0,3,0,3,17,1.0,23,10,9,2,0,0.0,20,0.0,5,10,8,64,2
2019-08-18,5,0.0,3,0,3,15,1.0,22,8,10,3,7,0.0,17,0.0,5,6,9,61,4
2019-08-25,5,0.0,4,0,3,14,0.0,23,9,9,2,7,0.0,16,0.0,6,9,8,57,0
2019-09-01,4,0.0,3,0,3,14,1.0,23,8,7,3,6,0.0,14,0.0,6,8,8,53,4
2019-09-08,5,0.0,4,0,3,12,1.0,21,6,8,3,6,0.0,14,0.0,5,7,8,48,5
2019-09-15,7,0.0,4,5,3,11,1.0,23,7,9,3,0,0.0,15,0.0,6,7,8,52,2
2019-09-22,5,0.0,3,0,3,14,1.0,23,7,9,3,10,0.0,15,0.0,5,7,7,49,2
2019-09-29,5,0.0,3,0,2,12,1.0,19,5,8,3,0,0.0,12,0.0,5,11,8,49,4
2019-10-06,6,0.0,3,0,2,12,1.0,20,5,16,3,8,0.0,11,0.0,5,7,7,50,4
2019-10-13,6,0.0,3,0,2,11,0.0,23,6,9,3,7,0.0,11,0.0,5,10,10,49,4
2019-10-20,6,0.0,2,0,3,13,1.0,23,6,11,3,0,0.0,12,0.0,5,9,7,50,5
2019-10-27,6,0.0,3,0,2,13,1.0,23,6,9,3,0,0.0,12,0.0,5,11,7,48,3
2019-11-03,6,0.0,3,0,2,11,1.0,23,17,7,2,6,0.0,12,0.0,5,9,8,49,3
2019-11-10,5,0.0,3,0,2,11,1.0,23,11,10,3,6,0.0,11,0.0,5,5,8,46,3
2019-11-17,5,0.0,3,0,3,12,0.0,24,14,9,3,8,0.0,12,0.0,6,5,8,45,4
2019-11-24,5,0.0,3,0,3,13,1.0,28,13,7,3,6,0.0,11,0.0,5,8,7,42,2
2019-12-01,5,0.0,3,0,2,11,1.0,26,12,7,3,0,0.0,10,0.0,5,7,7,42,4
2019-12-08,4,0.0,2,0,2,10,2.0,22,27,6,2,0,0.0,9,0.0,5,12,7,41,3
2019-12-15,6,0.0,2,0,3,12,1.0,25,17,7,3,9,0.0,11,0.0,5,15,8,41,2
2019-12-22,5,0.0,2,0,3,11,2.0,21,11,5,2,0,0.0,12,0.0,5,9,7,48,2
2019-12-29,5,0.0,3,5,3,11,1.0,23,12,6,2,0,0.0,11,0.0,5,7,8,57,3
2020-01-05,6,0.0,3,0,3,13,1.0,26,10,8,3,0,0.0,13,0.0,6,6,8,60,2
2020-01-12,7,0.0,4,0,4,13,1.0,23,11,10,3,0,0.0,16,0.0,5,13,8,60,4
2020-01-19,6,0.0,3,0,3,12,1.0,22,14,8,3,0,0.0,13,0.0,6,5,8,55,3
2020-01-26,6,0.0,3,0,4,13,1.0,22,13,8,4,5,0.0,17,0.0,6,7,8,53,4
2020-02-02,10,0.0,4,0,5,13,1.0,24,28,10,4,6,0.0,19,0.0,5,6,7,55,5
2020-02-09,12,0.0,5,0,8,16,1.0,28,61,19,4,7,1.0,20,0.0,6,5,8,54,0
2020-02-16,9,0.0,3,0,6,13,1.0,24,44,17,3,9,1.0,16,0.0,5,11,8,57,6
2020-02-23,7,0.0,3,0,5,14,1.0,20,27,13,3,7,0.0,14,0.0,5,9,8,52,4
2020-03-01,5,0.0,3,0,4,14,1.0,21,23,17,3,7,0.0,12,0.0,5,7,8,52,4
2020-03-08,7,0.0,2,0,6,24,1.0,23,21,15,3,0,0.0,18,0.0,5,9,9,43,2
2020-03-15,6,0.0,3,0,5,24,1.0,22,16,11,3,8,0.0,16,0.0,5,7,7,28,3
2020-03-22,6,0.0,3,0,4,18,0.0,22,14,8,3,5,0.0,14,0.0,4,9,7,20,0
2020-03-29,5,0.0,2,0,4,16,1.0,29,14,9,3,6,0.0,12,0.0,5,10,6,19,0
2020-04-05,6,0.0,3,0,4,16,1.0,30,18,15,3,8,0.0,13,0.0,6,9,7,19,4
2020-04-12,6,0.0,3,3,4,15,1.0,25,17,17,2,0,1.0,13,0.0,7,8,8,21,2
2020-04-19,5,0.0,3,0,5,15,1.0,25,27,16,3,10,1.0,13,0.0,6,4,6,21,3
2020-04-26,8,0.0,4,0,7,20,1.0,29,32,16,4,7,1.0,15,0.0,5,9,6,25,3
2020-05-03,6,0.0,4,0,6,22,1.0,29,23,15,3,0,1.0,15,0.0,6,15,7,27,2
2020-05-10,6,0.0,6,0,6,25,1.0,31,25,14,3,7,1.0,15,0.0,6,13,6,33,3
2020-05-17,5,0.0,5,0,6,18,1.0,30,31,14,3,0,1.0,13,0.0,5,11,7,37,3
2020-05-24,5,0.0,4,0,5,16,1.0,24,23,12,5,7,1.0,12,0.0,7,12,7,42,4
2020-05-31,5,0.0,4,3,7,16,1.0,24,23,15,6,0,1.0,13,0.0,6,14,7,44,4
2020-06-07,4,0.0,4,0,6,14,2.0,23,19,11,4,7,2.0,11,0.0,6,11,8,51,3
2020-06-14,5,0.0,4,0,5,13,2.0,21,19,14,4,6,2.0,11,0.0,7,8,7,53,4
2020-06-21,5,0.0,3,0,5,13,2.0,22,17,18,4,8,2.0,10,0.0,6,10,8,58,2
2020-06-28,4,0.0,4,0,5,13,2.0,20,16,12,6,7,2.0,10,0.0,7,12,8,58,2
2020-07-05,5,4.0,4,0,6,13,3.0,21,17,30,8,7,3.0,11,0.0,7,23,8,60,3
2020-07-12,5,1.0,5,3,5,14,3.0,22,28,58,6,11,3.0,11,0.0,7,20,7,58,3
2020-07-19,5,1.0,7,4,8,13,4.0,24,20,29,5,6,5.0,12,0.0,8,17,8,60,2
2020-07-26,11,1.0,7,5,14,20,3.0,25,22,30,9,6,7.0,19,0.0,9,18,8,61,2
2020-08-02,14,1.0,7,5,14,21,3.0,26,24,49,6,0,8.0,18,0.0,9,42,9,59,3
2020-08-09,10,0.0,8,3,11,17,3.0,23,44,100,5,19,13.0,15,0.0,10,43,9,56,2
2020-08-16,9,0.0,8,10,10,16,4.0,26,26,67,5,20,11.0,18,0.0,20,76,8,52,3
2020-08-23,7,0.0,6,3,7,14,5.0,27,18,35,4,18,10.0,13,0.0,31,46,8,48,3
2020-08-30,7,0.0,6,4,11,15,4.0,26,19,34,4,9,17.0,15,0.0,20,32,8,45,4
2020-09-06,6,0.0,5,4,8,14,3.0,34,14,25,4,23,9.0,12,0.0,14,17,8,44,2
2020-09-13,5,0.0,4,0,7,13,3.0,26,16,22,4,13,39.0,11,0.0,13,17,8,42,3
