value,value_classification,time_until_update,date
34,Fear,51122,2024-08-04
37,Fear,,2024-08-03
57,Greed,,2024-08-02
52,Neutral,,2024-08-01
61,Greed,,2024-07-31
67,Greed,,2024-07-30
74,Greed,,2024-07-29
71,Greed,,2024-07-28
72,Greed,,2024-07-27
68,Greed,,2024-07-26
68,Greed,,2024-07-25
69,Greed,,2024-07-24
71,Greed,,2024-07-23
70,Greed,,2024-07-22
74,Greed,,2024-07-21
74,Greed,,2024-07-20
60,Greed,,2024-07-19
61,Greed,,2024-07-18
69,Greed,,2024-07-17
65,Greed,,2024-07-16
52,Neutral,,2024-07-15
33,Fear,,2024-07-14
25,Extreme Fear,,2024-07-13
25,Extreme Fear,,2024-07-12
29,Fear,,2024-07-11
28,Fear,,2024-07-10
27,Fear,,2024-07-09
28,Fear,,2024-07-08
29,Fear,,2024-07-07
26,Fear,,2024-07-06
29,Fear,,2024-07-05
44,Fear,,2024-07-04
50,Neutral,,2024-07-03
51,Neutral,,2024-07-02
53,Neutral,,2024-07-01
47,Neutral,,2024-06-30
30,Fear,,2024-06-29
47,Neutral,,2024-06-28
40,Fear,,2024-06-27
46,Fear,,2024-06-26
30,Fear,,2024-06-25
51,Neutral,,2024-06-24
55,Greed,,2024-06-23
53,Neutral,,2024-06-22
63,Greed,,2024-06-21
60,Greed,,2024-06-20
64,Greed,,2024-06-19
74,Greed,,2024-06-18
71,Greed,,2024-06-17
71,Greed,,2024-06-16
74,Greed,,2024-06-15
74,Greed,,2024-06-14
70,Greed,,2024-06-13
72,Greed,,2024-06-12
74,Greed,,2024-06-11
72,Greed,,2024-06-10
75,Greed,,2024-06-09
72,Greed,,2024-06-08
77,Extreme Greed,,2024-06-07
78,Extreme Greed,,2024-06-06
75,Greed,,2024-06-05
73,Greed,,2024-06-04
73,Greed,,2024-06-03
73,Greed,,2024-06-02
72,Greed,,2024-06-01
73,Greed,,2024-05-31
73,Greed,,2024-05-30
72,Greed,,2024-05-29
72,Greed,,2024-05-28
74,Greed,,2024-05-27
75,Greed,,2024-05-26
76,Extreme Greed,,2024-05-25
74,Greed,,2024-05-24
76,Extreme Greed,,2024-05-23
76,Extreme Greed,,2024-05-22
76,Extreme Greed,,2024-05-21
70,Greed,,2024-05-20
72,Greed,,2024-05-19
73,Greed,,2024-05-18
74,Greed,,2024-05-17
70,Greed,,2024-05-16
64,Greed,,2024-05-15
66,Greed,,2024-05-14
57,Greed,,2024-05-13
56,Greed,,2024-05-12
53,Neutral,,2024-05-11
66,Greed,,2024-05-10
55,Greed,,2024-05-09
64,Greed,,2024-05-08
68,Greed,,2024-05-07
71,Greed,,2024-05-06
69,Greed,,2024-05-05
67,Greed,,2024-05-04
48,Neutral,,2024-05-03
43,Fear,,2024-05-02
54,Neutral,,2024-05-01
67,Greed,,2024-04-30
67,Greed,,2024-04-29
65,Greed,,2024-04-28
67,Greed,,2024-04-27
70,Greed,,2024-04-26
72,Greed,,2024-04-25
72,Greed,,2024-04-24
71,Greed,,2024-04-23
73,Greed,,2024-04-22
72,Greed,,2024-04-21
66,Greed,,2024-04-20
66,Greed,,2024-04-19
57,Greed,,2024-04-18
67,Greed,,2024-04-17
65,Greed,,2024-04-16
74,Greed,,2024-04-15
72,Greed,,2024-04-14
72,Greed,,2024-04-13
79,Extreme Greed,,2024-04-12
76,Extreme Greed,,2024-04-11
78,Extreme Greed,,2024-04-10
80,Extreme Greed,,2024-04-09
76,Extreme Greed,,2024-04-08
78,Extreme Greed,,2024-04-07
75,Greed,,2024-04-06
79,Extreme Greed,,2024-04-05
70,Greed,,2024-04-04
71,Greed,,2024-04-03
79,Extreme Greed,,2024-04-02
79,Extreme Greed,,2024-04-01
75,Greed,,2024-03-31
75,Greed,,2024-03-30
79,Extreme Greed,,2024-03-29
80,Extreme Greed,,2024-03-28
83,Extreme Greed,,2024-03-27
81,Extreme Greed,,2024-03-26
75,Greed,,2024-03-25
74,Greed,,2024-03-24
73,Greed,,2024-03-23
75,Greed,,2024-03-22
78,Extreme Greed,,2024-03-21
74,Greed,,2024-03-20
79,Extreme Greed,,2024-03-19
77,Extreme Greed,,2024-03-18
79,Extreme Greed,,2024-03-17
81,Extreme Greed,,2024-03-16
83,Extreme Greed,,2024-03-15
88,Extreme Greed,,2024-03-14
81,Extreme Greed,,2024-03-13
81,Extreme Greed,,2024-03-12
82,Extreme Greed,,2024-03-11
79,Extreme Greed,,2024-03-10
84,Extreme Greed,,2024-03-09
81,Extreme Greed,,2024-03-08
82,Extreme Greed,,2024-03-07
75,Greed,,2024-03-06
90,Extreme Greed,,2024-03-05
82,Extreme Greed,,2024-03-04
83,Extreme Greed,,2024-03-03
80,Extreme Greed,,2024-03-02
80,Extreme Greed,,2024-03-01
80,Extreme Greed,,2024-02-29
82,Extreme Greed,,2024-02-28
79,Extreme Greed,,2024-02-27
72,Greed,,2024-02-26
74,Greed,,2024-02-25
72,Greed,,2024-02-24
76,Extreme Greed,,2024-02-23
74,Greed,,2024-02-22
78,Extreme Greed,,2024-02-21
72,Greed,,2024-02-20
75,Greed,,2024-02-19
72,Greed,,2024-02-18
76,Extreme Greed,,2024-02-17
72,Greed,,2024-02-16
72,Greed,,2024-02-15
74,Greed,,2024-02-14
79,Extreme Greed,,2024-02-13
70,Greed,,2024-02-12
71,Greed,,2024-02-11
74,Greed,,2024-02-10
72,Greed,,2024-02-09
66,Greed,,2024-02-08
62,Greed,,2024-02-07
64,Greed,,2024-02-06
60,Greed,,2024-02-05
60,Greed,,2024-02-04
60,Greed,,2024-02-03
63,Greed,,2024-02-02
63,Greed,,2024-02-01
60,Greed,,2024-01-31
61,Greed,,2024-01-30
55,Greed,,2024-01-29
54,Neutral,,2024-01-28
55,Greed,,2024-01-27
49,Neutral,,2024-01-26
52,Neutral,,2024-01-25
48,Neutral,,2024-01-24
50,Neutral,,2024-01-23
55,Greed,,2024-01-22
56,Greed,,2024-01-21
52,Neutral,,2024-01-20
51,Neutral,,2024-01-19
63,Greed,,2024-01-18
60,Greed,,2024-01-17
64,Greed,,2024-01-16
52,Neutral,,2024-01-15
60,Greed,,2024-01-14
64,Greed,,2024-01-13
71,Greed,,2024-01-12
76,Extreme Greed,,2024-01-11
73,Greed,,2024-01-10
76,Extreme Greed,,2024-01-09
71,Greed,,2024-01-08
71,Greed,,2024-01-07
70,Greed,,2024-01-06
72,Greed,,2024-01-05
68,Greed,,2024-01-04
70,Greed,,2024-01-03
71,Greed,,2024-01-02
65,Greed,,2024-01-01
67,Greed,,2023-12-31
68,Greed,,2023-12-30
65,Greed,,2023-12-29
73,Greed,,2023-12-28
73,Greed,,2023-12-27
71,Greed,,2023-12-26
73,Greed,,2023-12-25
71,Greed,,2023-12-24
70,Greed,,2023-12-23
74,Greed,,2023-12-22
70,Greed,,2023-12-21
74,Greed,,2023-12-20
73,Greed,,2023-12-19
65,Greed,,2023-12-18
73,Greed,,2023-12-17
67,Greed,,2023-12-16
70,Greed,,2023-12-15
72,Greed,,2023-12-14
65,Greed,,2023-12-13
67,Greed,,2023-12-12
74,Greed,,2023-12-11
74,Greed,,2023-12-10
73,Greed,,2023-12-09
72,Greed,,2023-12-08
72,Greed,,2023-12-07
72,Greed,,2023-12-06
75,Greed,,2023-12-05
74,Greed,,2023-12-04
73,Greed,,2023-12-03
74,Greed,,2023-12-02
71,Greed,,2023-12-01
74,Greed,,2023-11-30
72,Greed,,2023-11-29
68,Greed,,2023-11-28
66,Greed,,2023-11-27
73,Greed,,2023-11-26
73,Greed,,2023-11-25
66,Greed,,2023-11-24
66,Greed,,2023-11-23
62,Greed,,2023-11-22
71,Greed,,2023-11-21
69,Greed,,2023-11-20
66,Greed,,2023-11-19
69,Greed,,2023-11-18
63,Greed,,2023-11-17
70,Greed,,2023-11-16
60,Greed,,2023-11-15
69,Greed,,2023-11-14
72,Greed,,2023-11-13
73,Greed,,2023-11-12
70,Greed,,2023-11-11
70,Greed,,2023-11-10
69,Greed,,2023-11-09
66,Greed,,2023-11-08
68,Greed,,2023-11-07
74,Greed,,2023-11-06
70,Greed,,2023-11-05
68,Greed,,2023-11-04
65,Greed,,2023-11-03
72,Greed,,2023-11-02
66,Greed,,2023-11-01
66,Greed,,2023-10-31
68,Greed,,2023-10-30
72,Greed,,2023-10-29
65,Greed,,2023-10-28
70,Greed,,2023-10-27
71,Greed,,2023-10-26
72,Greed,,2023-10-25
66,Greed,,2023-10-24
53,Neutral,,2023-10-23
53,Neutral,,2023-10-22
63,Greed,,2023-10-21
53,Neutral,,2023-10-20
52,Neutral,,2023-10-19
50,Neutral,,2023-10-18
52,Neutral,,2023-10-17
47,Neutral,,2023-10-16
45,Fear,,2023-10-15
47,Neutral,,2023-10-14
44,Fear,,2023-10-13
45,Fear,,2023-10-12
47,Neutral,,2023-10-11
50,Neutral,,2023-10-10
50,Neutral,,2023-10-09
50,Neutral,,2023-10-08
49,Neutral,,2023-10-07
50,Neutral,,2023-10-06
48,Neutral,,2023-10-05
49,Neutral,,2023-10-04
50,Neutral,,2023-10-03
50,Neutral,,2023-10-02
48,Neutral,,2023-10-01
47,Neutral,,2023-09-30
48,Neutral,,2023-09-29
46,Fear,,2023-09-28
44,Fear,,2023-09-27
46,Fear,,2023-09-26
47,Neutral,,2023-09-25
44,Fear,,2023-09-24
47,Neutral,,2023-09-23
43,Fear,,2023-09-22
47,Neutral,,2023-09-21
47,Neutral,,2023-09-20
46,Fear,,2023-09-19
46,Fear,,2023-09-18
46,Fear,,2023-09-17
43,Fear,,2023-09-16
45,Fear,,2023-09-15
45,Fear,,2023-09-14
41,Fear,,2023-09-13
30,Fear,,2023-09-12
40,Fear,,2023-09-11
40,Fear,,2023-09-10
41,Fear,,2023-09-09
46,Fear,,2023-09-08
41,Fear,,2023-09-07
42,Fear,,2023-09-06
40,Fear,,2023-09-05
40,Fear,,2023-09-04
40,Fear,,2023-09-03
39,Fear,,2023-09-02
40,Fear,,2023-09-01
52,Neutral,,2023-08-31
49,Neutral,,2023-08-30
39,Fear,,2023-08-29
39,Fear,,2023-08-28
38,Fear,,2023-08-27
38,Fear,,2023-08-26
39,Fear,,2023-08-25
41,Fear,,2023-08-24
37,Fear,,2023-08-23
37,Fear,,2023-08-22
38,Fear,,2023-08-21
37,Fear,,2023-08-20
39,Fear,,2023-08-19
37,Fear,,2023-08-18
50,Neutral,,2023-08-17
52,Neutral,,2023-08-16
53,Neutral,,2023-08-15
50,Neutral,,2023-08-14
54,Neutral,,2023-08-13
54,Neutral,,2023-08-12
51,Neutral,,2023-08-11
53,Neutral,,2023-08-10
50,Neutral,,2023-08-09
54,Neutral,,2023-08-08
49,Neutral,,2023-08-07
49,Neutral,,2023-08-06
50,Neutral,,2023-08-05
54,Neutral,,2023-08-04
52,Neutral,,2023-08-03
53,Neutral,,2023-08-02
53,Neutral,,2023-08-01
50,Neutral,,2023-07-31
52,Neutral,,2023-07-30
52,Neutral,,2023-07-29
52,Neutral,,2023-07-28
51,Neutral,,2023-07-27
51,Neutral,,2023-07-26
50,Neutral,,2023-07-25
55,Greed,,2023-07-24
54,Neutral,,2023-07-23
